ligand_name,smiles,smiles_duplicate,receptor_family,receptor,receptor_subtype,bias_category,bias_pathway,reference_ligand,assay_1,assay_2,publication_title,author,doi,pmid,year,molecular_weight,logp,hba,hbd,rings,tpsa
"1-(3-(5-methoxy-1,2,3,4-tetrahydronaphthalen-1-yl)propyl)-4-(pyridin-2-yl)piperazine",COC1=C(CCCC2CCCN3CCN(C4=NC=CC=C4)CC3)C2=CC=C1,COC1=C(CCCC2CCCN3CCN(C4=NC=CC=C4)CC3)C2=CC=C1,Aminergic,5-Hydroxytryptamine receptor,5HT1A receptor,G protein,Gi / β-Arr,5-hydroxytrypatmine,cAMP,β-Arrestin-recruitment,Arylpiperazine agonists of the serotonin 5-HT1A receptor preferentially activate cAMP signaling versus recruitment of Beta-arrestin-2,"Stroth,N",10.1016/j.bmc.2015.05.042,26081758,2015,365.52,4.11,4,0,4,28.6
1-(3-(5-methoxynaphthalen-1-yl)propyl)-4-(pyridin-2-yl)piperazine,COC1=C2C(C(CCCN3CCN(CC3)C4=NC=CC=C4)=CC=C2)=CC=C1,COC1=C2C(C(CCCN3CCN(CC3)C4=NC=CC=C4)=CC=C2)=CC=C1,Aminergic,5-Hydroxytryptamine receptor,5HT1A receptor,G protein,Gi / β-Arr,5-hydroxytrypatmine,cAMP,β-Arrestin-recruitment,Arylpiperazine agonists of the serotonin 5-HT1A receptor preferentially activate cAMP signaling versus recruitment of Beta-arrestin-2,"Stroth,N",10.1016/j.bmc.2015.05.042,26081758,2015,361.49,4.0,4,0,4,28.6
"1-((1s,4s)-4-(3-methoxyphenyl)cyclohexyl)-4-(pyridin-2-yl)piperazine",COC1=CC([C@@H](CC2)CC[C@@H]2N3CCN(CC3)C4=NC=CC=C4)=CC=C1,COC1=CC([C@@H](CC2)CC[C@@H]2N3CCN(CC3)C4=NC=CC=C4)=CC=C1,Aminergic,5-Hydroxytryptamine receptor,5HT1A receptor,G protein,Gi / β-Arr,5-hydroxytrypatmine,cAMP,β-Arrestin-recruitment,Arylpiperazine agonists of the serotonin 5-HT1A receptor preferentially activate cAMP signaling versus recruitment of Beta-arrestin-2,"Stroth,N",10.1016/j.bmc.2015.05.042,26081758,2015,351.49,3.94,4,0,4,28.6
"(E)-1-(3-(5-methoxy-3,4-dihydronaphthalen-1(2H)-ylidene)propyl)-4-(pyridin-2-yl)piperazine",COC1=C2C(/C(CCC2)=C/CCN3CCN(CC3)C4=NC=CC=C4)=CC=C1,COC1=C2C(/C(CCC2)=C/CCN3CCN(CC3)C4=NC=CC=C4)=CC=C1,Aminergic,5-Hydroxytryptamine receptor,5HT1A receptor,G protein,Gi / β-Arr,5-hydroxytrypatmine,cAMP,β-Arrestin-recruitment,Arylpiperazine agonists of the serotonin 5-HT1A receptor preferentially activate cAMP signaling versus recruitment of Beta-arrestin-2,"Stroth,N",10.1016/j.bmc.2015.05.042,26081758,2015,363.5,4.02,4,0,4,28.6
1-(4-(3-methoxyphenyl)butyl)-4-(pyridin-2-yl)piperazine,COC1=CC(CCCCN2CCN(CC2)C3=NC=CC=C3)=CC=C1,COC1=CC(CCCCN2CCN(CC2)C3=NC=CC=C3)=CC=C1,Aminergic,5-Hydroxytryptamine receptor,5HT1A receptor,G protein,Gi / β-Arr,5-hydroxytrypatmine,cAMP,β-Arrestin-recruitment,Arylpiperazine agonists of the serotonin 5-HT1A receptor preferentially activate cAMP signaling versus recruitment of Beta-arrestin-2,"Stroth,N",10.1016/j.bmc.2015.05.042,26081758,2015,325.46,3.24,4,0,3,28.6
"1-(2-(7-methoxy-1,2,3,4-tetrahydronaphthalen-2-yl)ethyl)-4-(pyridin-2-yl)piperazine",COC(C=C1)=CC2=C1CCC(C2)CCN3CCN(CC3)C4=NC=CC=C4,COC(C=C1)=CC2=C1CCC(C2)CCN3CCN(CC3)C4=NC=CC=C4,Aminergic,5-Hydroxytryptamine receptor,5HT1A receptor,G protein,Gi / β-Arr,5-hydroxytrypatmine,cAMP,β-Arrestin-recruitment,Arylpiperazine agonists of the serotonin 5-HT1A receptor preferentially activate cAMP signaling versus recruitment of Beta-arrestin-2,"Stroth,N",10.1016/j.bmc.2015.05.042,26081758,2015,351.49,3.41,4,0,4,28.6
8-OH-DPAT,OC1=CC=CC2=C1CC(N(CCC)CCC)CC2,OC1=CC=CC2=C1CC(N(CCC)CCC)CC2,Aminergic,5-Hydroxytryptamine receptor,5HT1A receptor,G protein,Gi / β-Arr,5-hydroxytrypatmine,cAMP,β-Arrestin-recruitment,Arylpiperazine agonists of the serotonin 5-HT1A receptor preferentially activate cAMP signaling versus recruitment of Beta-arrestin-2,"Stroth,N",10.1016/j.bmc.2015.05.042,26081758,2015,247.38,3.37,2,1,2,23.47
N-(3-(2-(((1-(3-Chloro-4-fluorobenzoyl)-4-fluoropiperidin-4-yl)methyl)amino)ethoxy)phenyl)acetamide,CC(NC1=CC=CC(OCCNCC2(F)CCN(C(C3=CC=C(F)C(Cl)=C3)=O)CC2)=C1)=O,CC(NC1=CC=CC(OCCNCC2(F)CCN(C(C3=CC=C(F)C(Cl)=C3)=O)CC2)=C1)=O,Aminergic,5-Hydroxytryptamine receptor,5HT1A receptor,G protein,Gi / ERK,5-hydroxytrypatmine,cAMP,ERK-Phosphorylation,Discovery of novel pERK1/2- or β-Arrestin-Preferring 5-HT1A Receptor Biased Agonists: Diversified Therapeutic-Like vs. Side Effects Profile,"Sniecikowska,J",10.1021/acs.jmedchem.0c00814,32883072,2020,465.92,4.05,4,2,3,70.67
LY266097,ClC1=C(C(OC)=CC=C1CC2NCCC3=C2NC4=CC=C(C)C=C43)OC,ClC1=C(C(OC)=CC=C1CC2NCCC3=C2NC4=CC=C(C)C=C43)OC,Aminergic,5-Hydroxytryptamine receptor,5HT2B receptor,G protein,Gq / β-Arr,5-hydroxytrypatmine,PI hydrolysis,BRET,Structural determinants of 5-HT 2B receptor activation and biased agonism,"McCorvy,JD",10.1038/s41594-018-0116-7,30127358,2018,370.88,4.58,3,2,4,46.28
Capadenoson,ClC1=CC=C(C2=NC(CSC3=NC(N)=C(C#N)C(C4=CC=C(OCCO)C=C4)=C3C#N)=CS2)C=C1,ClC1=CC=C(C2=NC(CSC3=NC(N)=C(C#N)C(C4=CC=C(OCCO)C=C4)=C3C#N)=CS2)C=C1,Nucleotide,Adenosine receptor,A1 receptor,G protein,Gi / ERK,NECA,cAMP,ERK-Phosphorylation,Quantification of adenosine A(1)receptor biased agonism: Implications for drug discovery,"Baltos,JA",10.1016/j.bcp.2015.11.013,26581123,2015,520.04,5.51,9,2,4,128.84
