,SMILES,molecule_chembl_id,MW,LogP,Activity_nM
0,CNCCOc1ccc(N2Nc3cc(O)ccc3-c3c2c2ccc(O)cc2oc3=O)cc1,CHEMBL5178058,431.4480000000002,3.9480000000000013,0.07
1,C[C@@H]1c2c(ccc(O)c2F)O[C@@H](c2ccc(OC[C@H](C)N3CCC[C@H]3C)cc2)[C@H]1c1ccc(O)cc1,CHEMBL181248,491.60300000000024,6.509500000000007,0.07
2,CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1,CHEMBL149791,316.4,5.466900000000006,0.015
3,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL44,270.24,2.576800000000001,0.594
4,CN[C@H](CC[C@@H](NC)c1c(Cl)cc(O)cc1Cl)c1c(Cl)cc(O)cc1Cl,CHEMBL292269,438.18200000000013,5.712800000000005,0.0
5,C[C@@H]1Cc2c(ccc3[nH]nc(F)c23)[C@@H](c2ccc(NC3CN(CCCF)C3)c(F)n2)N1CC(F)(F)F,CHEMBL4777139,512.5020000000003,4.590100000000003,0.05012
6,C[C@]12CC[C@@H]3c4cc(CCCO)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,CHEMBL1627420,330.468,3.5341000000000036,0.004
7,CC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]nc(F)c3c1C2,CHEMBL385680,338.3040000000001,4.333300000000002,0.2
8,Oc1cccc(C2=C(Cl)c3cc(O)ccc3O[C@H]2c2ccc(OCCN3CC(CF)C3)cc2)c1,CHEMBL4591338,481.9510000000003,5.618700000000006,0.01
9,CCC1=C(c2ccc(O)cc2)[C@H](CC)c2cc(O)ccc21,CHEMBL306878,280.36699999999996,4.925800000000004,0.059
10,CC[C@@H](COc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1)N1CCCC1,CHEMBL367350,477.62600000000026,6.318100000000008,0.2
11,O=C(c1ccc(O)cc1)c1sc2cc(O)ccc2c1-c1ccc(F)cc1,CHEMBL3763189,364.3970000000001,5.349600000000005,0.2
12,C[C@]1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(O)c1,CHEMBL328388,444.57500000000016,4.898600000000006,0.5998
13,CC/C(=C(\c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,CHEMBL195515,370.44800000000004,5.859100000000005,0.1445
14,CC1=C(c2ccc(O)cc2)[C@H](c2ccc(OCCN3CCCCC3)cc2)Oc2cc(O)ccc21,CHEMBL68055,457.5700000000003,6.026900000000007,0.015
15,C[C@]12CC[C@H]3[C@H](CC=C4C[C@@H](O)CC[C@@]43/C=C\F)[C@H]1CC[C@@H]2O,CHEMBL202007,320.44800000000004,4.134300000000004,3.8
16,Cc1cc(Cl)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,CHEMBL4081807,478.9530000000002,6.998240000000006,0.07
17,CN(C)CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1,CHEMBL201013,417.54900000000004,5.064200000000006,7.92
